satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,promotion_last_3_years,department,salary,sex,marital_status,distance_from_home,age,absent_per_month,work_mode,job_position,contract_type,expected_promotion,salary_increase_last_year,leave_days_taken,left
,0.4300530331890149,3,140.0,5,0,0,technical,medium,Male,married,10,58,7,home,Senior,CDI,1,,9,0
1.0,0.8528402847183183,4,300.0,11,0,0,technical,high,Female,divorced,49,22,1,office,Junior,CDD,0,0.3620537516970463,15,0
0.5223424240924306,1.0,2,140.65247002671828,2,0,1,accounting,low,Female,divorced,15,41,4,hybride,Junior,CDD,0,0.22722621989806563,7,0
0.5982542296368997,0.4116198047560128,3,186.09050228839226,4,0,0,accounting,low,Male,single,21,57,0,home,Junior,CDD,0,0.1942576753635739,22,0
,0.7782279451762457,4,156.0,3,0,0,sales,medium,Female,divorced,42,22,9,office,Senior,CDI,1,,27,0
0.4250924091357429,0.572194825857924,4,183.38207240258157,12,0,0,technical,medium,Male,single,25,50,8,hybride,Junior,CDI,1,0.2713143984168532,25,0
,0.7351970348389935,6,175.5,12,0,1,marketing,,Female,married,21,54,1,home,Junior,CDI,1,,10,0
,0.40941012110657865,3,130.5,7,0,0,marketing,high,Male,single,1,51,6,hybride,Senior,CDI,1,,17,0
,0.3496504130811574,5,,9,0,0,sales,,Male,divorced,46,32,6,hybride,Junior,CDI,0,,27,0
0.44094367016089786,0.37545131529811876,6,179.13193692746836,3,0,1,marketing,medium,Female,single,23,50,3,home,Senior,CDI,0,0.17684334143443206,15,0
0.4741418586341226,0.48717235653078145,2,180.52374833116204,7,0,0,DSI,low,Male,single,46,33,5,office,Junior,CDI,0,0.20823012642324873,8,0
,0.553058336611248,5,153.5,13,1,0,accounting,,Female,divorced,17,26,1,hybride,Junior,CDD,0,,8,0
,0.7890254886320178,4,191.71698777368547,14,0,1,sales,medium,Male,single,14,38,1,office,Senior,CDI,1,,30,0
0.5960281748890522,0.4333072226508188,2,187.2263197142023,9,0,0,marketing,high,Female,divorced,36,58,8,home,Junior,CDI,0,0.2086193631301942,22,0
0.32248917388841847,0.4724342094882137,6,182.0,5,0,0,DSI,medium,Male,married,34,34,0,office,Senior,CDD,1,0.20809794403675985,15,0
0.3883210952408366,1.0,4,179.3438059925313,8,1,0,support,medium,Male,married,21,50,5,hybride,Junior,CDD,1,0.3068530065744208,30,0
0.36706902825686244,0.6106751462052116,4,150.94335791481726,14,0,0,support,medium,Male,divorced,16,34,0,hybride,Junior,CDI,1,0.3150150016108477,18,0
0.734251919875729,0.6570635074534978,4,226.61639300387048,8,0,0,accounting,medium,Female,single,19,47,5,home,Senior,CDI,0,0.2740992486409927,13,0
0.2848805403179809,0.7490613183108714,5,145.5,12,0,0,DSI,high,Female,divorced,1,52,3,office,Director,CDI,1,0.3173963956267986,20,1
0.9419161774035537,0.4952321983418778,6,288.9719155319639,7,0,0,accounting,high,Male,single,12,54,4,home,Senior,CDD,0,0.29250661247116194,26,0
0.9028437985947626,0.5963310671784876,6,294.2819382417441,1,0,0,sales,medium,Male,divorced,42,53,3,home,Junior,CDI,0,0.23372558149814213,5,0
0.777919859902447,0.5355086467512109,5,244.42997317529174,5,0,0,marketing,low,Female,single,28,42,4,home,Junior,CDI,1,0.2606090633829776,26,0
,0.5833921813693695,6,,13,0,0,sales,,Male,married,42,41,2,hybride,Junior,CDI,0,,8,0
,0.7686485356405098,4,162.0,10,0,0,hr,,Male,single,44,59,5,office,Senior,CDI,0,,16,0
1.0,0.7349331966802799,4,295.0614927445698,9,0,0,support,low,Female,single,28,50,0,office,Junior,CDD,1,0.37098980534650755,23,0
0.5388732652498943,0.14354385064913522,4,218.85445490159614,9,0,0,sales,medium,Female,divorced,29,59,1,office,Senior,CDI,0,0.22229050225769365,3,0
,0.7995756612266828,6,177.5,12,0,0,hr,,Male,married,25,28,5,home,Junior,CDI,0,,21,0
0.829902320655482,0.5308548533123462,3,248.35588420925322,6,0,0,marketing,high,Male,single,35,35,8,office,Junior,CDD,0,0.2937478225333576,30,0
,0.6789607409772072,2,137.5,8,0,0,accounting,,Female,divorced,45,45,4,office,Senior,CDI,1,,8,0
,0.5184869489220532,3,144.0,4,0,0,support,,Male,single,28,50,1,hybride,Junior,CDD,0,,10,0
0.30413056069066163,0.5896390063029688,5,182.19507797836593,9,0,0,accounting,medium,Female,married,47,25,4,hybride,Senior,CDI,0,0.2484694768542417,27,0
1.0,0.863058022949547,3,291.3066211904919,2,0,0,sales,medium,Male,divorced,26,62,5,office,Junior,CDI,0,0.2899546807427439,14,0
,0.6672151211981182,3,,2,0,0,DSI,,Female,married,34,40,1,office,Senior,CDI,0,,5,0
0.9627269968976937,0.852834254818528,5,270.54701654564553,14,0,0,technical,medium,Male,married,23,36,9,hybride,Junior,CDD,0,0.37328055113656905,18,0
0.6622179095876152,0.5898062081563897,3,199.73186896384374,7,0,0,technical,high,Male,divorced,35,36,6,hybride,Junior,CDI,0,0.2856718784903466,12,0
0.7943684886833287,0.5690182650800427,2,237.05808772845404,4,1,0,support,medium,Male,single,14,53,7,hybride,Senior,CDI,0,0.21704853158944037,27,0
0.460525891097195,0.6024356130316002,6,217.346256839849,11,0,0,accounting,medium,Male,divorced,47,50,7,office,Senior,CDI,0,0.2879301493858286,11,0
0.48869806942523225,0.3461046467088071,5,191.40412647276696,13,0,0,accounting,low,Male,single,1,43,5,hybride,Junior,CDI,0,0.24549126000848137,20,0
0.993148513293857,0.06179827946153327,3,295.51666921578635,4,0,0,marketing,low,Female,married,21,57,3,hybride,Director,CDI,0,0.23994432292260245,30,0
,0.44385282142745003,4,,2,0,0,marketing,,Female,single,35,38,1,home,Senior,CDI,1,,30,0
,,4,290.568041547746,9,0,0,hr,low,Female,married,26,57,9,hybride,Junior,CDI,0,,9,0
0.8564078406213109,0.8841075112042203,5,261.4079226775682,2,0,0,marketing,medium,Female,divorced,40,34,0,office,Senior,CDI,1,0.2657017719707987,8,0
,0.19952722824502822,4,151.0,9,0,0,accounting,,Male,single,22,54,7,hybride,Senior,CDI,1,,5,0
,0.8573354655568697,2,137.0,12,0,0,accounting,,Female,divorced,44,64,4,office,Junior,CDD,0,,13,0
0.4247257729491008,0.48153522907122726,3,155.03238292496607,5,0,0,support,medium,Male,divorced,13,44,8,hybride,Junior,CDD,0,0.207291701113242,15,0
0.5921058764007022,0.3147199948866933,2,200.61114810221716,14,0,0,accounting,medium,Female,divorced,22,43,7,hybride,Junior,CDI,0,0.29190464906700164,4,0
,0.8118453418472521,2,136.0,5,0,0,hr,,Female,single,32,61,1,hybride,Junior,CDI,0,,25,0
0.9711123724307353,0.49891123491155975,6,300.0,7,0,0,DSI,high,Male,single,48,55,8,office,Junior,CDD,0,0.27424563686512415,18,1
0.651609603591481,1.0,3,205.01425899644457,12,0,0,marketing,high,Male,married,41,38,3,hybride,Manager,CDD,1,0.39731871594687934,12,0
,0.4653514752816946,5,176.5,5,0,0,technical,,Male,married,43,64,2,home,Manager,CDI,0,,24,0
0.3681753339364475,0.5447290065081394,4,169.15073391489668,13,1,1,marketing,low,Male,married,41,41,8,office,Junior,CDD,0,0.29861230129760297,5,0
0.4983044009385472,0.40470160356514207,6,222.2832492395459,6,0,0,accounting,medium,Male,married,12,22,1,hybride,Junior,CDI,0,0.19591161391344175,21,1
0.3658175427109515,0.6299801047041382,2,143.08205002479568,3,0,0,sales,medium,Male,divorced,49,41,5,home,Senior,CDI,1,0.19511744442137016,25,1
0.4734309158423657,0.7594129942941029,4,189.68367612400516,3,1,0,hr,medium,Male,married,16,62,9,office,Senior,CDD,1,0.24546477785193985,4,0
,0.25394489523589664,3,150.0,3,0,0,marketing,medium,Female,single,40,54,6,hybride,Senior,CDI,0,,17,0
0.7060217912746265,0.7311597340326,2,212.86967773518563,1,0,0,accounting,low,Male,single,46,55,7,office,Junior,CDI,1,0.2190297464074995,1,0
0.7875995909792114,0.5182675062514815,2,209.40291211421192,3,0,0,sales,medium,Male,single,15,26,2,office,Junior,CDI,1,0.2648638957972943,22,0
0.8444020167030295,0.42781828373564945,3,256.2688827520419,4,1,0,hr,medium,Male,married,29,43,9,office,Junior,CDI,0,0.23363408404257346,3,0
,,5,,6,0,0,sales,high,Female,divorced,8,58,1,office,Director,CDI,0,,30,0
0.7409292757573609,0.7957247000714289,6,241.14479002229533,11,0,0,technical,high,Female,single,24,59,1,home,Junior,CDD,1,0.3333449679764658,9,0
0.9320718039317701,0.6573375359709298,3,270.91710745334285,14,0,0,accounting,medium,Female,single,15,60,1,office,Senior,CDD,1,0.38912167598745745,12,0
0.8203521343936271,0.4835842513731842,4,252.7737365439658,4,0,0,support,high,Male,married,14,30,9,office,Junior,CDD,1,0.21971021747674668,10,0
0.6653378092734289,0.7558918001414098,4,246.01184668409678,3,0,0,technical,medium,Male,single,43,40,6,hybride,Senior,CDI,1,0.2363328613181277,17,0
0.5506675799418115,0.7059652287234245,2,,8,0,0,hr,medium,Female,single,2,54,9,hybride,Junior,CDD,1,0.23571883602668528,8,0
0.4893539261997261,0.7735694808802752,6,211.71402076035972,5,0,0,technical,low,Female,single,24,39,3,home,Junior,CDI,0,0.219443198810506,24,0
,,5,195.5179490390023,3,0,0,support,medium,Male,married,32,44,6,home,Senior,CDI,0,,10,0
,,5,244.8199215854637,4,0,0,support,high,Male,single,32,64,5,home,Junior,CDI,0,,7,0
0.9427812575219892,0.9864751543634658,4,,4,0,0,accounting,high,Male,single,16,27,3,home,Junior,CDI,0,0.27533262004273606,21,0
,0.8855159211309283,5,155.5,14,0,0,accounting,,Female,divorced,21,30,4,hybride,Junior,CDI,1,,30,0
,0.7566882841257194,4,146.5,12,1,0,accounting,,Male,married,3,56,7,home,Junior,CDI,0,,15,0
0.2386270150438825,0.26175388450298037,6,180.0,3,0,0,sales,medium,Female,single,40,40,5,hybride,Senior,CDD,1,0.12937228429642478,12,1
,0.6219584161539726,2,,9,0,0,DSI,high,Female,single,49,26,2,office,Manager,CDI,0,,16,0
0.9968145001898628,0.6492651195619241,4,286.6755072610506,4,0,0,accounting,high,Female,single,4,48,9,office,Junior,CDD,1,0.22924622895160604,6,0
,0.643114231105354,6,165.0,8,0,0,DSI,,Male,single,10,22,7,office,Senior,CDI,0,,6,0
0.9911179097695735,0.5780385065655346,4,285.9622532373327,14,0,0,hr,high,Male,divorced,44,36,6,office,Manager,CDI,0,0.3699730496633945,4,0
,0.7292099825803011,3,135.5,9,0,0,hr,,Male,married,1,55,3,home,Junior,CDD,0,,3,0
1.0,0.7558311693483998,4,300.0,7,0,0,marketing,low,Male,single,3,34,1,hybride,Junior,CDI,0,0.3008383345822604,29,0
,0.2655657424504003,6,175.5,3,0,0,DSI,medium,Female,divorced,41,38,1,office,Senior,CDI,1,,21,0
0.6692070096872976,0.8709680472167405,5,210.2271842621436,14,0,0,hr,low,Male,divorced,7,40,1,home,Junior,CDD,0,0.3516112418979804,12,0
0.3634341364391654,0.3047096137505258,4,179.18995540460665,1,0,0,support,high,Male,married,26,62,1,office,Junior,CDI,0,0.15263825966866307,7,0
0.5465769080810174,0.5188201824758067,2,183.09546296928343,9,0,0,DSI,medium,Male,divorced,44,48,7,office,Senior,CDI,0,0.24523522669151976,0,0
,,6,238.71306677290386,4,0,0,sales,high,Female,married,26,57,4,office,Junior,CDI,0,,12,0
0.9357975255999691,0.45564724862449857,5,276.00648588936133,14,0,0,technical,medium,Male,divorced,14,62,9,hybride,Junior,CDI,1,0.3518880926997054,4,0
0.5636803639106738,0.8173066066300759,6,214.07945029852434,3,1,0,sales,medium,Female,married,6,51,6,hybride,Senior,CDI,0,0.2197421396718271,20,0
,0.6243239608675702,4,169.0,12,0,0,support,,Female,married,48,57,6,hybride,Senior,CDD,0,,25,0
0.9919577420963147,0.7365198262524004,3,273.8053167279926,7,0,0,support,medium,Male,married,15,24,1,hybride,Junior,CDD,1,0.3071942376428977,19,0
0.5770815775468903,0.7264031676894563,3,184.31245556124134,13,0,0,technical,medium,Male,single,35,48,7,home,Senior,CDI,0,0.3348447452101448,24,0
0.9664581337727579,0.2169908773780086,2,272.41244918599205,10,0,0,sales,medium,Male,married,10,62,5,hybride,Junior,CDD,0,0.2709211039101871,23,0
0.9732598829577351,0.48845168730268496,2,239.74062096361092,9,0,0,support,medium,Male,single,11,41,7,home,Senior,CDI,0,0.27820123547680714,28,0
0.7258299340809229,0.7497144963472255,5,249.97057283492563,7,0,1,accounting,high,Female,married,32,60,2,hybride,Junior,CDI,0,0.27499968263900343,8,0
0.43437208783342873,0.7313675966246547,3,158.5353352899848,11,0,0,technical,low,Male,single,28,64,2,office,Junior,CDI,1,0.25779272752593574,28,0
0.5600595665694028,0.24866478731882574,4,211.37990456945516,9,0,0,accounting,high,Female,divorced,5,52,9,hybride,Senior,CDD,0,0.2578500052264069,22,0
1.0,0.8060054250357849,6,300.0,7,0,0,sales,medium,Male,married,25,29,2,home,Senior,CDD,1,0.3307216535437943,7,0
0.43724962562731284,0.7232111891837234,6,203.84215603001644,11,0,0,accounting,medium,Male,divorced,41,55,8,hybride,Junior,CDI,1,0.2938261738196855,26,0
,0.4074415393076628,3,138.5,8,0,0,support,high,Female,divorced,27,40,5,hybride,Manager,CDI,1,,24,0
0.7196797114959577,0.6817256556508724,3,,8,0,0,DSI,low,Female,single,48,50,8,office,Senior,CDI,1,0.3280945897892276,6,0
,0.5541776469794302,6,161.5,12,0,0,technical,,Male,divorced,13,25,1,hybride,Junior,CDD,1,,23,0
0.48481375969436147,0.6983930783254585,5,195.2836260691396,8,0,0,accounting,low,Male,single,38,22,9,office,Junior,CDI,0,0.2827451001829163,8,0
0.7672929987310104,0.23995277979811258,6,300.0,2,0,0,DSI,medium,Male,married,45,41,8,office,Manager,CDI,0,0.1975236183055097,14,0
0.9429183573045289,0.5294790274516797,2,253.9676530015634,2,0,0,technical,low,Male,single,21,35,9,home,Junior,CDD,0,0.259715002613003,6,0
0.7622534885748655,0.836143380480414,4,240.64919192187867,2,0,0,support,low,Male,single,41,23,2,hybride,Senior,CDI,1,0.22639899348600062,1,0
0.9450753960787758,0.7077638344341078,3,256.8807077244806,7,0,0,support,high,Male,married,11,43,9,office,Manager,CDI,0,0.3263643571983862,27,0
0.27758499609637566,0.7583281729428093,3,142.0,8,0,0,DSI,medium,Male,single,24,49,9,office,Junior,CDD,1,0.2184945573385666,23,1
,,5,171.0,10,0,0,technical,,Male,single,42,61,7,office,Junior,CDD,0,,22,1
,,2,,1,0,1,hr,low,Male,married,26,61,2,office,Junior,CDD,0,,22,0
,0.5673821987158424,6,169.0,8,0,0,sales,,Male,married,8,56,3,home,Senior,CDD,0,,21,0
,,2,250.7689940894637,11,0,0,sales,low,Male,divorced,4,60,8,office,Senior,CDI,0,,24,0
0.8060606832014346,0.5495689757684353,2,210.36711051974416,8,0,0,sales,low,Male,single,13,51,9,hybride,Junior,CDI,0,0.2611828044234783,27,0
0.3886635759899636,0.8908080089805539,5,174.5,5,0,0,sales,medium,Female,married,39,47,3,hybride,Senior,CDI,1,0.25326577313452536,5,0
0.306887708635739,0.8264642719561207,5,160.5,3,0,0,support,medium,Female,divorced,31,22,5,hybride,Senior,CDD,0,0.23031569448700415,28,0
0.794361015843911,0.4015596220962615,6,300.0,1,0,0,technical,medium,Male,married,46,60,6,office,Junior,CDI,0,0.1740421014393532,25,1
0.7529910788530954,0.5165317258995197,6,281.7948624940891,14,0,0,DSI,medium,Male,married,29,47,9,office,Senior,CDI,0,0.34255187915880764,27,0
0.49636109120131333,0.4151523564871879,4,,4,0,0,accounting,medium,Female,married,44,42,1,hybride,Senior,CDD,0,0.18515410981177335,12,0
0.463425332497666,0.6359046347734264,2,166.55985814741257,7,0,0,marketing,medium,Female,single,5,53,6,hybride,Junior,CDI,0,0.2392343116220813,22,0
,0.7994545646229134,6,174.0,7,0,0,DSI,,Male,divorced,38,46,3,office,Junior,CDI,0,,26,0
0.8834925090140188,1.0,5,259.41643310246764,13,0,0,support,medium,Male,single,12,33,6,office,Junior,CDI,0,0.36658201342265323,0,0
,0.3145095602308783,4,163.5,5,0,0,support,,Male,single,47,56,2,office,Junior,CDI,0,,10,0
,0.7716694690699294,4,138.0,6,1,1,sales,,Male,divorced,6,39,0,hybride,Junior,CDI,0,,15,0
0.38373777148071786,0.5984628744842028,5,164.18831485493837,13,0,0,hr,high,Male,single,13,60,8,office,Senior,CDD,1,0.32748981979862185,20,0
0.8606183971637917,0.5265726051937427,6,271.11173434055775,9,0,0,accounting,medium,Female,divorced,17,64,6,hybride,Senior,CDD,0,0.3070714988701583,30,0
0.738840852101373,0.4129416370160993,5,240.52766157834347,7,0,0,sales,low,Male,single,25,26,1,office,Junior,CDI,0,0.2052416243123845,23,0
0.7005978854806898,0.9559721874198566,6,239.51039849117845,2,0,0,support,low,Male,single,8,46,4,office,Senior,CDI,1,0.21928992547379722,0,0
,0.2742271543694052,5,177.0,14,0,0,accounting,,Male,married,44,31,3,hybride,Junior,CDD,0,,23,0
0.4650630387826474,0.5020489694103151,5,216.41787610181365,2,0,0,DSI,medium,Male,married,37,25,9,office,Senior,CDI,0,0.15121397519642846,3,1
0.9186765400692011,0.673459381323083,3,234.60031549777688,2,0,0,technical,low,Male,divorced,4,51,6,office,Junior,CDI,1,0.2461074452890777,29,0
0.46880887920527825,0.6906576784547843,6,185.61965732915453,11,0,0,sales,high,Female,divorced,7,63,1,hybride,Director,CDI,0,0.30777991571350827,29,0
0.3901677687001261,0.8493595638072466,2,161.0010417072723,2,0,0,hr,medium,Female,married,33,28,7,home,Director,CDI,0,0.2453889123529885,10,0
0.30750800991078514,0.4238638862600119,3,,5,0,0,sales,medium,Male,single,49,63,6,home,Junior,CDD,0,0.2204051505703401,11,0
0.48434626327211183,0.7248773788396289,3,170.71275258782802,10,0,0,hr,low,Male,married,12,62,2,home,Junior,CDI,1,0.26867244852384864,5,0
0.39748312289642634,0.58741309618685,3,161.35369457914243,14,0,0,sales,medium,Male,divorced,37,29,5,hybride,Junior,CDI,0,0.29340290055821455,12,0
,0.6080434217351113,3,139.0,14,0,0,accounting,,Male,married,8,25,8,office,Senior,CDI,0,,19,0
0.8182194755852461,0.5080845536334543,2,227.34136336242028,5,0,0,hr,medium,Male,divorced,12,27,0,hybride,Junior,CDI,0,0.25510263500941766,0,0
,0.6323732850644093,3,142.5,8,0,0,DSI,,Male,single,25,58,0,office,Junior,CDD,0,,9,0
0.4849243658346334,0.5715227343301269,2,175.86501364118317,5,1,0,accounting,medium,Female,single,21,51,8,hybride,Senior,CDI,0,0.21975960499211245,14,0
0.6457640359413893,0.5287490047586549,2,187.54897659573703,11,0,0,marketing,medium,Male,divorced,32,31,0,hybride,Senior,CDD,0,0.32441292507390523,9,0
0.6611623963010471,0.4949594130678843,3,230.55453523997176,8,0,0,technical,medium,Female,married,28,36,0,home,Senior,CDI,1,0.2640460761876484,5,0
0.8032258392057476,0.674499109766238,4,239.6956435274185,6,0,0,accounting,high,Female,married,13,63,1,hybride,Manager,CDD,1,0.2853299590751035,23,0
1.0,0.33382186028932076,2,293.73398359345754,10,1,0,DSI,low,Female,married,28,58,2,office,Senior,CDI,0,0.25147479028060665,22,0
0.48082723596273164,0.5615303627068224,3,169.2872104287798,4,0,0,sales,medium,Male,single,20,22,3,home,Senior,CDI,0,0.1751248437203862,3,0
0.7609743851729124,0.4464565093269864,5,,10,0,0,technical,high,Male,single,44,32,3,office,Junior,CDD,0,0.2680221217333118,6,0
0.98191819810771,0.5754180532963131,5,300.0,4,0,0,hr,medium,Male,divorced,15,31,9,hybride,Junior,CDI,0,0.25409582479487547,19,0
0.4143457947036504,0.5779592499173917,6,195.73903505332572,14,0,0,DSI,medium,Male,single,14,61,2,office,Junior,CDI,1,0.2914841859585815,28,0
,0.7733705458263934,2,119.0,3,1,0,technical,,Male,divorced,8,33,7,home,Junior,CDI,0,,23,0
,0.7318030238788882,2,133.0,9,0,0,marketing,,Female,single,26,47,3,home,Senior,CDI,0,,27,0
0.9504445515266281,0.6583591670580893,5,285.71921889465614,11,0,0,sales,high,Female,divorced,10,62,8,hybride,Junior,CDI,0,0.3517346693585112,0,0
0.7473185779222709,0.634546228883743,2,210.21801835743486,11,0,0,technical,low,Male,divorced,31,23,8,office,Junior,CDD,0,0.30566379027424345,26,1
,0.5618275162170814,2,192.08053389448335,12,1,0,accounting,high,Male,single,9,46,3,hybride,Senior,CDI,0,,3,0
0.777856576529633,0.5581306518712428,5,235.47730725068195,11,0,1,support,low,Male,single,6,48,3,home,Junior,CDI,0,0.32103803066401565,14,0
0.3309598067950127,0.25042716955619626,3,161.01839851610202,5,0,0,hr,medium,Female,married,8,53,2,home,Senior,CDD,0,0.15498859646631102,4,0
0.8430289435004453,0.746749859835012,5,283.27729815333623,8,0,0,hr,low,Male,single,45,37,3,hybride,Junior,CDI,0,0.27229262084919026,7,0
,0.6533052280020055,4,155.0,11,0,0,technical,,Male,divorced,40,35,4,office,Senior,CDI,0,,12,0
0.9557597973386098,0.8400748384538227,5,,14,0,0,DSI,medium,Male,divorced,34,58,9,office,Junior,CDI,1,0.3709290731944972,20,1
,,5,148.5,11,0,0,technical,high,Male,divorced,7,51,1,hybride,Senior,CDI,0,,19,0
,0.8520739402017332,3,139.0,4,0,0,technical,,Female,single,18,56,5,hybride,Junior,CDD,0,,28,0
0.42419168399765983,0.5616356678183838,5,180.51783572627073,14,0,0,sales,medium,Male,divorced,19,37,6,hybride,Junior,CDI,0,0.30480105778322836,21,0
0.9386669924897411,0.48536795599413685,5,300.0,3,0,0,marketing,low,Male,single,31,27,9,hybride,Junior,CDI,0,0.24488292112712706,18,1
,0.9090889244716371,3,138.0,11,0,0,technical,,Male,single,16,60,1,home,Junior,CDI,0,,22,0
0.3543552735136171,0.6727785760827649,5,,6,0,0,hr,medium,Male,divorced,29,64,9,home,Senior,CDI,0,0.1758506099893462,15,0
